County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Vigo,Indiana,US,39.42944561,-87.39169027,"Vigo, Indiana, US",18,25,25,32,36,40,41,42,42,42,43,46,48,51,57,58,60,60,60,62,62,62,62,62,62,64,64,67,67,69,71
Wabash,Indiana,US,40.84704239,-85.79328272,"Wabash, Indiana, US",1,3,5,5,6,7,7,7,7,7,7,8,9,9,9,10,10,10,12,12,12,19,22,28,38,42,51,55,60,63,63
Warren,Indiana,US,40.34728141,-87.35602659,"Warren, Indiana, US",2,2,2,2,2,2,2,3,3,3,3,5,5,6,7,7,7,7,8,11,11,11,11,11,11,11,11,11,11,11,12
Warrick,Indiana,US,38.08922676,-87.2716085,"Warrick, Indiana, US",13,19,23,26,30,33,34,36,38,39,41,51,53,55,58,59,69,68,77,78,80,82,83,84,88,96,94,101,101,103,106
Washington,Indiana,US,38.60219804,-86.1049363,"Washington, Indiana, US",18,18,20,21,23,23,23,25,26,26,27,28,27,28,29,31,31,31,33,36,40,40,40,41,41,43,44,44,45,45,45
Wayne,Indiana,US,39.8633444,-85.01044989,"Wayne, Indiana, US",8,10,13,16,16,16,17,17,19,19,20,21,22,23,27,28,28,30,30,31,31,31,33,33,36,34,35,37,38,39,41
Wells,Indiana,US,40.72934187,-85.22132966,"Wells, Indiana, US",2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,6,6,5,5,6,5,5,5,5,5,5,6,7,7,7
White,Indiana,US,40.74911165,-86.86492015,"White, Indiana, US",3,3,3,3,3,3,3,3,4,5,5,5,6,6,7,8,8,11,12,14,18,26,34,42,43,47,51,57,82,99,100
Whitley,Indiana,US,41.13863784,-85.50791236,"Whitley, Indiana, US",6,8,8,8,8,10,11,12,13,14,14,15,14,15,16,16,16,16,16,16,16,16,16,16,16,19,20,21,21,21,22
Totals,,,,,,4411,4936,5510,5943,6351,6907,7435,7928,8359,8527,8960,9542,10154,10641,11211,11688,12097,12438,13039,13681,14399,15012,15961,16588,17182,17835,18630,19295,19933,20507,21033
