County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Knox,Kentucky,US,36.89225732,-83.85403396,"Knox, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,3,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,8
Larue,Kentucky,US,37.54567114,-85.70138352,"Larue, Kentucky, US",3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laurel,Kentucky,US,37.10975748,-84.11321779,"Laurel, Kentucky, US",2,2,2,2,5,5,5,9,9,9,11,12,13,13,13,13,14,14,13,13,14,14,14,14,15,17,17,17,17,17,19
Lawrence,Kentucky,US,38.07136018,-82.72882223,"Lawrence, Kentucky, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lee,Kentucky,US,37.59645942,-83.71513901,"Lee, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leslie,Kentucky,US,37.09246661,-83.37999606,"Leslie, Kentucky, US",0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
Letcher,Kentucky,US,37.12306748,-82.85346474,"Letcher, Kentucky, US",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3
Lewis,Kentucky,US,38.53184419,-83.37735618,"Lewis, Kentucky, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lincoln,Kentucky,US,37.45475628,-84.6565327,"Lincoln, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
Livingston,Kentucky,US,37.21137452,-88.34797529,"Livingston, Kentucky, US",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,6,6,6
Logan,Kentucky,US,36.85949479,-86.877635,"Logan, Kentucky, US",4,4,4,4,5,5,5,5,5,5,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,10,11,11,13,14,15
Lyon,Kentucky,US,37.02080035,-88.07886257,"Lyon, Kentucky, US",4,4,4,4,6,6,6,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13
McCracken,Kentucky,US,37.05350953,-88.70445755,"McCracken, Kentucky, US",13,13,13,13,16,16,16,21,21,23,24,28,27,29,29,29,30,30,30,31,34,43,44,48,48,55,58,58,59,62,63
McCreary,Kentucky,US,36.73874143,-84.48102924,"McCreary, Kentucky, US",1,1,1,1,3,3,3,8,8,7,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
McLean,Kentucky,US,37.5301951,-87.26803443,"McLean, Kentucky, US",1,1,1,1,2,5,5,7,7,6,6,7,7,7,8,8,8,9,9,10,11,12,12,12,13,15,15,15,16,16,16
Madison,Kentucky,US,37.71659336,-84.27220275,"Madison, Kentucky, US",11,11,12,12,14,14,14,18,18,20,21,21,21,21,21,21,21,23,23,26,27,29,29,29,29,28,29,29,29,30,31
Magoffin,Kentucky,US,37.70820545,-83.0657714,"Magoffin, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,Kentucky,US,37.55218078,-85.26898542,"Marion, Kentucky, US",3,3,3,3,4,4,4,11,11,10,11,12,13,13,13,13,13,13,13,13,14,15,16,16,16,16,17,17,17,17,17
Marshall,Kentucky,US,36.88007070000000,-88.32803576,"Marshall, Kentucky, US",3,3,5,5,8,8,8,11,11,11,12,12,12,12,12,14,16,20,23,23,27,31,33,34,34,34,34,34,34,33,33
Martin,Kentucky,US,37.79990579,-82.51247478,"Martin, Kentucky, US",1,1,1,1,1,1,1,4,4,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mason,Kentucky,US,38.59471935,-83.82151043,"Mason, Kentucky, US",2,2,2,2,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Meade,Kentucky,US,37.96163597,-86.21028219,"Meade, Kentucky, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,6,7,9,11,11,12,12,12,14,15,15
Menifee,Kentucky,US,37.94090733,-83.59985712,"Menifee, Kentucky, US",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mercer,Kentucky,US,37.81474237,-84.87488475,"Mercer, Kentucky, US",4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Metcalfe,Kentucky,US,36.99459295,-85.63123699,"Metcalfe, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Monroe,Kentucky,US,36.71225341,-85.71596443,"Monroe, Kentucky, US",0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6
Montgomery,Kentucky,US,38.03253032,-83.9145241,"Montgomery, Kentucky, US",5,5,6,6,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,12,12,12,11,11
Morgan,Kentucky,US,37.92465657,-83.25558245,"Morgan, Kentucky, US",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Muhlenberg,Kentucky,US,37.21425819,-87.14632053,"Muhlenberg, Kentucky, US",0,0,27,27,26,26,26,28,28,45,47,55,54,58,75,76,76,74,72,91,96,111,111,114,116,123,125,125,132,132,442
